id;street_address;postal_code;city;state_province
1;Loan aperiam;Refined copy mindshare;Fort Myers;program Northwest North
2;Practical North;down;Labadiebury;orange vel Funk
3;comedy kelvin;Strontium ant navigating;Tyreekworth;Electric
4;Porsche Web;Diesel Adventure West;North Kristianhaven;Selenium
5;navigating deposit;hacking;New Amyaport;Human
6;Rap Bike Ball;East;Stanside;male convey male
7;Direct Selenium Tricycle;Peso West;East Russellview;queer
8;moratorium Ford;Fresh Berkshire;Fort Billy;till inasmuch HTTP
9;yet Cambridgeshire;welcome Idaho;Nashville-Davidson;Chips
10;teal;virtual Bicycle;McAllen;woman Frozen Plain
