id;name;description;price;quantity;created_at;updated_at
1;array;molestiae Hawaii invoice;62732;79102;2023-06-15T09:24:58;2023-06-15T13:50:29
2;Bountiful;South Home Electric;31867;16315;2023-06-16T02:42:54;2023-06-15T20:06:49
3;Mariana Gasoline;Lauretta;65988;43895;2023-06-15T11:59:35;2023-06-16T02:17:21
4;gah coop dear;wherever quizzically female;71142;28646;2023-06-15T14:06:50;2023-06-15T06:56:15
5;Latin;intranet Genderqueer;60222;8268;2023-06-16T02:45:45;2023-06-15T21:26:34
6;connecting;Soap Loan XML;77743;50302;2023-06-15T07:43:09;2023-06-16T03:09:45
7;transmit Honda;Northeast pascal;39299;69687;2023-06-15T07:01:57;2023-06-15T13:39:22
8;degree;vortals Granite silver;55376;94472;2023-06-15T12:05:28;2023-06-15T07:59:39
9;Global;blockchains Representative;22687;18397;2023-06-15T20:58:59;2023-06-15T19:16:05
10;experiences;invoice Trigender olive;23289;90470;2023-06-15T06:51:26;2023-06-15T10:03:08
